VDA_id,y,x,NSI_fd_id,NSI_occtype,NSI_bldgtype,NSI_bid,NSI_st_damcat,NSI_sqft,NSI_found_type,NSI_found_ht,NSI_val_struct,NSI_val_cont,NSI_firmzone,NSI_ground_elv_ft_NAVD88,LC_DS_PDA,LC_occupancy_type,LC_damage_details,LC_bldg_image,LC_student_notes,VDA_elevation_status,VDA_breakaway_walls,VDA_number_of_stories,VDA_DS_roof,VDA_DS_walls,VDA_DS_foundation,VDA_DS_attachments,VDA_DS_openings,VDA_DS_overall,VDA_DS_overall_num,VDA_DS_noroof,VDA_confidence_level,VDA_data_source,VDA_assessment_status,VDA_notes,TA_FolioID,TA_SiteAddress,TA_BldgUseTyp,TA_BasemapCla,TA_MaxStories,TA_ActYearBuilt,TA_EffYearBuilt,TA_EstimatedV,TA_ShapeSTArea_Sqft,FEC_Street_Address,FEC_Building_Use,FEC_Flood_Zones,FEC_BFE,FEC_Elevation_Datum,FEC_Building_Status,FEC_TBF,FEC_TNHF,FEC_LHS,FEC_Attached_Garage,FEC_Lowest_Elevation_of_Equipment,FEC_Lowest _Adjacent_Grade,FEC_Highest_Adjacent_Grade,FEC_Lowest_Adjacent_Grade_at_Lowest_Stairs,FEC_Building_Diagram_Number,FEC_FFE,FFE_grnd_elev_m_NAVD88,FFE_grnd_elev_ft_NAVD88,FFE_shoreline_dist_m,FFE_bldg_diagram,FFE_foundation,FFE_elev_status,FFE_elev_desc,FFE_ffe_ft,FFE_nhf_ft,FFE_lhsm_ft,FFE_measurement_type,FFE_confidence,FFE__notes,SurgeElev_Avg_NAVD88_m,SurgeElev_Low_NAVD88_m,SurgeElev_High_NAVD88_m,SurgeWave_Avg_NAVD88_m,SurgeWave_Low_NAVD88_m,SurgeWave_High_NAVD88_m
FMB0095,26.454542,-81.950538,496537752,RES1-1SNB,W,76RWF23X+RQ8-3-3-2-2,RES,1562,C,1.5,122805.777,61402.8885,AE,2.707545,major,single family,yes,yes,Minor roof damage on edge of roof,yes,no,1,DS1,DS1,DS0,DS0,DS0,DS1,1,DS1,,Aerial+Lee County,Full,Staining and minor roof damage,10452855,415 PALERMO CIR,single family residential,Residential,1,2002,2002,232386,2873.009534,415 Palermo Circle,res,ae,10,NAVD,Finished,4.8,14.7,,,5.1,4.5,4.8,na,7,14.7,1.33,4.47,471.707594,6,Piles/Columns,elevated,Likely Elevated,9.480612245,,7.817346939,imagery,High,"bottom looks like laticed covered pile but theres garage doors, difficult to know diagram for sure.",3.922633925,3.582633925,4.262633925,4.11930808,3.77930808,4.45930808
FMB0096,26.451219,-81.9463,496537753,RES1-1SNB,W,76RWF323+FFP-3-2-2-2,RES,715,I,8,88893.8793,44446.9396,AE,3.503205,major,single family,yes,yes,,yes,no,1,DS1,DS0,DS0,DS0,DS0,DS1,1,DS0,High,Aerial+OSU,Full,small scratches/tears to soffit on estern side,10228038,163 PEARL ST,single family residential,Residential,1,1952,2002,50853,1212.033213,,,,,,,,,,,,,,,,,1.26,3.71,304.186931,1B,Slab-on-Grade,elevated,Clearly Elevated,3.947840691,,,imagery,Medium,very poor line of sight,4.056650455,3.716650455,4.396650455,4.391794313,4.051794313,4.731794313
FMB0097,26.450658,-81.946563,496537754,RES1-1SNB,W,76RWF323+797-3-3-3-2,RES,1628,I,8,146183.808,73091.9044,AE,4.242329,minor,single family,yes,yes,"The pictures show the front of the house. Damage detail talks about the waterline, and how only the foundation remains.",yes,yes,1,DS1,DS0,DS0,DS1,DS3,DS3,3,DS3,High,Aerial+StEER,Full,The building is still intact looks but did experience some damage. Roof; there is a great amount of soffit damage. Attachments; parts of the railing in the front of the building are gone. Openings; both garage doors are destroyed and the main entrance is also gone.,10228262,134 VIRGINIA AVE,single family residential,Residential,1,2005,2005,333597,3291.852741,,,,,,,,,,,,,,,,,1.36,4.89,236.76546,6,Piles/Columns,elevated,Likely Elevated,13.23682676,,9.590754717,imagery,High,bottom story appears to be all garages,4.110587632,3.770587632,4.450587632,4.555436885,4.215436885,4.895436885
FMB0098,26.452033,-81.947016,496537755,RES1-1SNB,W,76RWF323+R59-2-2-2-2,RES,884,I,8,101912.057,50956.0286,AE,3.458895,minor,single family,yes,yes,"The pictures show the front of the house. Damage detail talks about the non-structural damage, and damage to mechanical components.",yes,no,1,DS0,DS0,DS0,DS3,DS0,DS3,3,DS3,High,Aerial+StEER,Full,"The building is still intact looks but did experience some damage. Attachments; some screens are on the porch in front of the main entrance. Also, the boat dock in the back is destroyed.",10228284,235 VIRGINIA AV,single family residential,Residential,1,1951,1984,65725,1415.49874,,,,,,,,,,,,,,,,,1.58,3.85,366.354676,5,Piles/Columns,elevated,Clearly Elevated,8.318672566,,7.035693215,imagery,High,,4.006916259,3.666916259,4.346916259,4.274160817,3.934160817,4.614160817
FMB0099,26.454021,-81.95254,496537756,RES1-1SNB,W,76RWF23W+JX4-3-3-2-3,RES,1600,I,8,144182.784,72091.392,AE,4.411689,major,single family,yes,yes,Front of house damage is primarily garage and some wall staining,yes,no,1,DS1,DS1,DS0,DS3,DS0,DS3,3,DS3,,Aerial+Lee County,Full,"Minor staining, but attached porch in backyard looks to have collapsed.",10228153,194 PRIMO DR,single family residential,Residential,1,1980,1986,146296,2656.002922,,,,,,,,,,,,,,,,,1.4,4.45,319.508959,7,Wall,elevated,Likely Elevated,7.60276652,,,imagery,High,Bottom floor is mostly garages. ,4.044392833,3.704392833,4.384392833,4.360396563,4.020396563,4.700396563
FMB0100,26.454721,-81.951903,496537757,RES1-2SNB,W,76RWF23X+V6Q-2-2-1-2,RES,1612,S,0.5,135120.285,67560.1425,AE,3.746965,major,single family,yes,yes,Light scratching on front of house,yes,no,1,DS0,DS1,DS0,DS0,DS0,DS1,1,DS1,,Aerial+Lee County,Full,Some scratching on font walls,10228128,253 PALERMO CIR,single family residential,Residential,1,1950,1988,132211,2845.417032,,,,,,,,,,,,,,,,,1.92,3.93,419.141085,7,Wall,elevated,Probably Elevated,8.198459119,,,imagery,High,structure is most likely wall foundation but has decorative lattice,3.964687132,3.624687132,4.304687132,4.190983186,3.850983186,4.530983186
FMB0101,26.453878,-81.952524,496537758,RES1-2SNB,W,76RWF23W+HX5-2-2-3-2,RES,2056,C,1.5,157263.828,78631.914,AE,4.174626,major,single family,yes,yes,"Image is of the front of house, some damage to under roof",yes,no,1,DS0,DS0,DS1,DS0,DS0,DS1,1,DS1,,Aerial+Lee County,Full,"There is minimal damage to home, some damage under roof awning",10228154,190 PRIMO DR,single family residential,Residential,2,1950,1986,383916,2236.996029,,,,,,,,,,,,,,,,,1.67,4.61,307.6482,7,Wall,elevated,Probably Elevated,10.45508156,36.74504391,,imagery,High,structure is tall so perspective may be off ,4.05388144,3.71388144,4.39388144,4.384545419,4.044545419,4.724545419
FMB0102,26.452516,-81.952613,496537759,RES3B,W,76RWF23W+2X2-1-2-1-2,RES,784.965,S,0.5,145240.598,72620.2991,AE,4.684207,destroyed,commercial,yes,yes,"Image shows building next door, at strange angle from inside car",no,no,2,,DS5,DS6,DS3,DS3,DS6,6,DS6,,Aerial+StEER,Partial,"Building has been partially washed away, the remaining portion colliding with the building next door. Used LC imagery for FDID_496539693 as well",10228163,120 PRIMO DR,Multiples/Motels,Residential,1,1935,2003,155473,1527.010097,,,,,,,,,,,,,,,,,1.04,4.72,170.381293,7,Wall,not-elevated,Unlikely Elevated,6.129569513,,,imagery,High,stairs go slightly lower than the base of the wall,4.163694966,3.823694966,4.503694966,4.779614981,3.879614981,5.679614981
FMB0103,26.455998,-81.952937,496537760,RES1-1SNB,W,76RWF24W+9RW-4-3-3-4,RES,3628,I,8,216815.732,108407.866,AE,4.233548,major,single family,yes,no,"In the Lee County data the imagery it shows the house next to it. However Mehrshad said to use what was said for the building assuming it is for the correct building and they just took a picture of the wrong house by mistake, which stated structural damage to the walls. ",no,no,3,DS0,DS0,,DS0,DS0,DS0,0,,High,Aerial+StEER,Partial,"The closest steer footage for this building is off of a bridge to the west, so I can only see the top two stories so I did the assesment off of that. This made it so I couldn’t see the foundation or any of the bottom walls. The top two walls had no damage as well as all the windows and attachements. The noaa footage showed no damaged and I checked with the new drone footage.",10228377,277 PRIMO DR,single family residential,Residential,2,1997,2006,952589,4576.281616,,,,,,,,,,,,,,,,,2.07,5.69,493.767883,7,Wall,elevated,Probably Elevated,,,,,High,"no good angle on structure, 3 story appears to be elevated",3.904985694,3.564985694,4.244985694,4.091910991,3.751910991,4.431910991
FMB0104,26.453716,-81.95359,496537761,RES3A,W,76RWF23W+FHM-2-4-2-5,RES,2615.06,S,0.5,439079.413,219539.706,AE,2.526122,minor,multi-family,yes,yes,Photos showed left and right sides of the housing unit and the description talked about exterior walls,yes,no,1,DS1,DS1,DS0,DS0,DS0,DS1,1,DS1,High,Aerial+StEER,Full,"Noaa footage showed no damage to the top of the roof but steer showed damage to gutters and walls on the backside of the unit. Not dmage to foundation, openings or attachements were seen.",10228384,202 CRESCENT DR,single family residential,Residential,1,1952,1984,32274,899.9964,,,,,,,,,,,,,,,,,1.72,2.86,242.430276,,,,,,,,,High,no line of sight on structure. ,4.106055779,3.766055779,4.446055779,4.539738441,4.199738441,4.879738441
FMB0105,26.45312,-81.947604,496537762,RES1-1SNB,W,76RWF332+6XR-2-2-2-2,RES,1244,S,0.5,106839.015,53419.5076,AE,3.650036,major,single family,yes,yes,The pictures show the front of the house. Damage detail talks water level line and how the foundation only remains.,yes,yes,1,DS1,DS0,DS0,DS0,DS3,DS3,3,DS3,High,Aerial+StEER,Full,The building is still intact looks but did experience some damage. Roof; there is some gutter and fascia damage. Openings; one of the garage doors is broken.,10228304,282 OHIO AVE,single family residential,Residential,1,1962,1984,90256,935.996256,,,,,,,,,,,,,,,,,1.44,4.56,447.359163,6,Piles/Columns,elevated,Probably Elevated,9.2,,7,imagery,Low,"very poor line of sight, assumed parking area has 7 foot clearance",3.94211267,3.60211267,4.28211267,4.151305428,3.811305428,4.491305428
FMB0106,26.451469,-81.947623,496537763,RES1-1SNB,W,76RWF322+HXJ-3-3-3-3,RES,968,S,0.5,92346.1406,46173.0703,AE,2.898,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline and non-structural damage to the roof.,yes,no,1,DS1,DS1,,DS0,DS2,DS2,2,,Medium,Aerial+StEER,Partial,The building is still intact for the most part. Roof; there are some shingles that are out of place. Walls; some minor cladding on the columns. Openings; two of the front windows are broken.,10228294,210 OHIO AVE,single family residential,Residential,1,1970,1976,86098,2655.017401,,,,,,,,,,,,,,,,,1.59,4.31,292.121707,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,4.066302634,3.726302634,4.406302634,4.417821794,4.077821794,4.757821794
FMB0107,26.452938,-81.948708,496537764,RES1-1SNB,W,76RWF332+5GF-3-2-3-3,RES,1156,P,8,119356.463,59678.2318,AE,4.000789,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline.,no,no,1,DS0,DS0,DS0,DS0,DS3,DS3,3,DS3,High,Aerial+StEER,Full,"The building is still intact looks but did experience some damage. Openings; all the windows have sheet metal, am going to assume that they are broken.",10228237,217 MIRAMAR ST,single family residential,Residential,1,1977,1994,126374,2618.336873,,,,,,,,,,,,,,,,,1.63,4.29,382.323004,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,3.994141597,3.654141597,4.334141597,4.247620124,3.907620124,4.587620124
FMB0108,26.455657,-81.952519,496537765,RES1-1SNB,W,76RWF24W+7X9-2-3-2-3,RES,1440,I,8,116568.115,58284.0576,AE,2.68256,major,single family,yes,yes,"Photo of front of home, minor damage to wall cladding",yes,no,1,DS0,DS1,DS0,DS0,DS1,DS1,1,DS1,,Aerial+Lee County,Full,"Some wall cladding removed, shutters. Otherwise undamaged",10228142,270 PRIMO DR,single family residential,Residential,1,1945,1991,177367,3708.14739,,,,,,,,,,,,,,,,,1.72,3.23,483.658254,7,Wall,elevated,Probably Elevated,7.121354839,,,imagery,Medium,not confident on diagram number/ foundation type. where ffe meets ground is difficult to pin as the surface overhangs first floor,3.913073397,3.573073397,4.253073397,4.104288459,3.764288459,4.444288459
FMB0109,26.450959,-81.946301,496537766,RES1-1SNB,W,76RWF323+9FP-1-2-2-2,RES,808,C,1.5,82438.3395,41219.1697,AE,3.316929,major,single family,yes,yes,,yes,no,1,DS1,DS0,DS0,DS0,DS0,DS1,1,DS0,High,Aerial+OSU,Full,minor damage to gutters and roof fascia,10228036,149 PEARL ST,single family residential,Residential,1,1952,1986,53810,1067.997869,,,,,,,,,,,,,,,,,1.57,3.41,277.464201,1B,Slab-on-Grade,elevated,Clearly Elevated,3.495328283,,,imagery,High,slab on grade,4.078028639,3.738028639,4.418028639,4.451150685,4.111150685,4.791150685
FMB0110,26.453215,-81.948716,496537767,RES1-2SNB,W,76RWF332+7GM-2-2-2-3,RES,1368,P,8,135938.216,67969.1084,AE,3.873984,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline and how only the foundation remains.,yes,yes,2,DS1,DS2,DS0,DS0,DS2,DS2,2,DS2,High,Aerial+StEER,Full,The building is still intact for the most part. Roof; there is some minor soffit damage. Walls; a good amount of the siding is peeling off. Openings; one big window that has small panels is broken leaving a big hole in the wall.,10228239,235 MIRAMAR ST,single family residential,Residential,2,1994,1995,109171,1990.499309,,,,,,,,,,,,,,,,,1.38,3.82,410.193984,6,Piles/Columns,elevated,Probably Elevated,8.888128492,19.29053073,7.505530726,imagery,High,bottom story is mostly glass encased lounge type area,3.971844813,3.631844813,4.311844813,4.204206861,3.864206861,4.544206861
FMB0111,26.453313,-81.949804,496537768,RES1-2SNB,W,76RWF332+83G-2-2-2-2,RES,1536,P,8,130532.828,65266.4143,AE,4.083126,major,multi-family,no,yes,1 good picture,yes,no,1,DS1,DS1,DS0,DS2,DS1,DS2,2,DS2,High,Aerial+Lee County,Full,Minor damage to walls and roof over the deck. Deck faced major damage,10228054,253/255 CAROLINA AVE,single family residential,Residential,1,1958,1985,123939,2164.996375,,,,,,,,,,,,,,,,,1.35,4.66,375.557862,1A,Slab-on-Grade,not-elevated,Unlikely Elevated,0,7.347429171,,imagery,High,bottom story used as living space/vacation rental.,3.99955371,3.65955371,4.33955371,4.258706311,3.918706311,4.598706311
FMB0112,26.452602,-81.949837,496537769,RES1-1SNB,W,76RWF332+23V-2-2-3-3,RES,1884,W,1.5,140625.684,70312.8423,AE,3.573155,major,single family,yes,yes,Notes regard failure to foundation and walls 3 good pictures,yes,no,1,DS1,DS5,DS1,DS3,DS3,DS5,5,DS5,High,Aerial+Lee County,Full,"Major damage to walls, large holes and all walls have damage. Minor damage to roof and the attachments have been destroyed",10228059,235 CAROLINA AVE,single family residential,Residential,1,1968,1981,152427,2469.948939,,,,,,,,,,,,,,,,,1.18,3.56,304.009277,7,Wall,elevated,Probably Elevated,7.651995516,,,imagery,High,"may be a diagram 6, part of it appears to be on piles but it looks more like an addition than part of the original structure",4.056792578,3.716792578,4.396792578,4.392168919,4.052168919,4.732168919
FMB0113,26.455119,-81.950637,496537770,RES1-1SNB,W,76RWF24X+2PX-6-6-6-6,RES,4731,C,1.5,270972.756,135486.378,AE,3.766783,major,single family,yes,yes,"Minor damage to home, debric in carport but no visible effect on home",yes,no,2,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,,Aerial+Lee County,Full,No visible damage,10228075,391 PALERMO CIR,single family residential,Residential,2,2013,2013,1101759,8351.099149,,,,,,,,,,,,,,,,,1.49,4.78,516.349342,1B,Slab-on-Grade,elevated,Clearly Elevated,4.119677419,15.4008871,,imagery,High,house is slab on grade but clearly elevated. garages are only portion that are not elevated,3.886920526,3.546920526,4.226920526,4.065282616,3.725282616,4.405282616
FMB0114,26.452527,-81.94805,496537771,RES1-1SNB,W,76RWF332+2Q8-2-2-3-2,RES,880,S,0.5,87364.992,43682.496,AE,4.528296,minor,single family,yes,yes,The pictures show the front of the house. Damage detail talks non-structural damage to the interior walls.,yes,,1,DS1,DS0,DS0,DS1,DS0,DS1,1,DS1,High,Aerial+StEER,Full,The building is still intact for the most part. Roof; a small amount of the shingles are missing/ out of place.  Attachments; a few of the screens on the enclosed deck that on the left side of the building are damaged/ broken. ,10228317,265 OHIO AVE,single family residential,Residential,1,1952,1981,57746,1117.998126,,,,,,,,,,,,,,,,,1.16,3.96,367.666595,8,Crawlspace,elevated,Clearly Elevated,5.776961131,,5.027067138,imagery,High,somewhat approximation for exterior location of first floor,4.005866724,3.665866724,4.345866724,4.271930743,3.931930743,4.611930743
FMB0115,26.452108,-81.948686,496537772,RES1-1SNB,W,76RWF322+RGW-2-2-2-3,RES,900,P,8,103096.8,51548.4,AE,3.598001,minor,single family,yes,yes,The pictures show the front of the house. Damage detail talks non-structural damage to the interior walls.,yes,no,1,DS0,DS1,DS0,DS0,DS2,DS2,2,DS2,High,Aerial+StEER,Full,The building is still intact for the most part. Walls; there are some minor scratches. Openings; two windows in the front of the house are broken.,10228231,163 MIRAMAR ST,single family residential,Residential,1,1958,1985,49133,1844.928133,,,,,,,,,,,,,,,,,1.27,4.25,298.576555,8,Crawlspace,elevated,Clearly Elevated,2.092125436,,,imagery,High,,4.061138756,3.721138756,4.401138756,4.403747198,4.063747198,4.743747198
FMB0116,26.454039,-81.949035,496537773,RES1-1SNB,W,76RWF332+J98-3-2-3-1,RES,1064,I,8,97604.169,48802.0845,AE,3.680157,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline and how only the foundation remains,yes,yes,1,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,High,Aerial+Lee County,Full,The building experienced little to no damage.,10227982,280 OSTEGO DR,single family residential,Residential,1,1979,1986,175207,2259.932498,,,,,,,,,,,,,,,,,2.37,4.29,484.979129,6,Piles/Columns,elevated,Likely Elevated,8.125168539,,6.740196629,imagery,High,bottom story is mostly latice porch,3.912016697,3.572016697,4.252016697,4.102654523,3.762654523,4.442654523
FMB0117,26.452786,-81.948701,496537774,RES1-1SNB,W,76RWF332+4G7-2-2-2-2,RES,672,I,8,72996.5666,36498.2833,AE,3.354934,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline and how only the foundation remains,yes,no,1,DS1,DS0,DS0,DS0,DS0,DS1,1,DS0,High,Aerial+StEER,Full,The building is still intact and looks like minor damage. Roof; there is some soffit damage.,10228236,209 MIRAMAR ST,single family residential,Residential,1,1957,1992,79185,992.00571,,,,,,,,,,,,,,,,,1.29,4.15,366.843671,6,Piles/Columns,elevated,Likely Elevated,8.468732026,,7.237594771,imagery,High,,4.006525063,3.666525063,4.346525063,4.273328527,3.933328527,4.613328527
FMB0118,26.453313,-81.950027,496537775,RES1-2SNB,W,76RWF23X+8XH-2-1-2-2,RES,1536,I,8,147330.367,73665.1837,AE,2.885796,,,,,No LC point,no,no,1,DS3,,,,,DS3,3,,Low,Aerial+Lee County,Partial,"No LC dot. I cant get an angle to see the building, i believe it is some sort of boat storage shed but i can't see it",10228054,251 CAROLINA AV,single family residential,Residential,1,1960,1985,52306,1267.994928,,,,,,,,,,,,,,,,,1.09,-2.15,367.591802,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,Low,very poor line of sight on structure. appears to be slab on grade unelevated,4.005926558,3.665926558,4.345926558,4.272057635,3.932057635,4.612057635
FMB0119,26.453304,-81.950504,496537776,RES1-2SNB,W,76RWF23X+8QH-2-4-3-3,RES,3460,S,0.5,221163.255,110581.627,AE,3.309358,minor,single family,no,yes,1 good picture,yes,no,2,DS0,DS1,DS0,DS0,DS0,DS1,1,DS1,High,Aerial+OSU,Full,No real damage to be seen other than some asthetic damage to walls,10228090,461 PALERMO CIR,single family residential,Residential,1.5,2013,2013,774909,3039.147273,,,,,,,,,,,,,,,,,1.21,4.11,344.802881,7,Wall,elevated,Likely Elevated,13.65351515,,,imagery,High,house appears to be only garage on bottom story,4.024157695,3.684157695,4.364157695,4.312162944,3.972162944,4.652162944
FMB0120,26.455513,-81.952976,496537777,RES1-1SNB,W,76RWF24W+6R2-2-3-2-3,RES,1400,I,8,114399.264,57199.632,AE,3.463505,minor,single family,yes,yes,"The damage reported was damage to the roof, like shingles and the soffit.",yes,no,1,DS0,DS0,,DS0,DS0,DS0,0,,High,Aerial+StEER,Partial,"Noaa footage showed no damage to the roof and I checked with the drone. The steer footage that was closest was from a bridge to the west the images were from pretty far away. From what I saw though their was no damge to any of the walls, attachments and openings.",10228375,265 PRIMO DR,single family residential,Residential,1,1991,2008,178909,3024.788091,265 Primo Dr,res,ae,10,navd,Finished,17.3,na,na,na,12.2,5.1,5.2,na,5,17.3,1.15,4.25,445.032169,6,Piles/Columns,elevated,Clearly Elevated,13.4644165,,12.36974849,imagery,Medium,exact location of first floor is vague on exterior ± 1ft,3.943974265,3.603974265,4.283974265,4.154467514,3.814467514,4.494467514
FMB0121,26.453997,-81.952944,496537778,COM10,W,76RWF23W+HRV-2-3-1-2,COM,4847.50129,I,8,486008.15,243004.0754,AE,4.04028,minor,single family,yes,yes,"Image of front of house, no visible damage",no,no,2,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,,Aerial+Lee County,Full,"Minimal damage, same building as fd_id 496537779",10228365,201 PRIMO DR,single family residential,Residential,1,1950,1989,131491,1595.900955,,,,,,,,,,,,,,,,,1.23,5.12,299.36249,7,Wall,elevated,Likely Elevated,10.10964163,,,imagery,High,has elevated utilities but also several groun floor doors/winows,4.060510008,3.720510008,4.400510008,4.402057334,4.062057334,4.742057334
FMB0122,26.452629,-81.946994,496537780,RES1-1SNB,W,76RWF333+362-3-1-4-2,RES,1168,C,1.5,102969.968,51484.984,AE,3.446817,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about both structural and non-structural damage along with waterline,yes,yes,1,DS3,DS0,DS0,DS0,DS2,DS3,3,DS2,High,Aerial+StEER,Full,The building is still intact for the most part. Roof; 50%< of the shingles are missing with the sheathing exposed. Openings; the windows in the front are gone.,10228286,251 VIRGINIA AV,single family residential,Residential,1,1948,1978,91836,2056.004243,,,,,,,,,,,,,,,,,1.1,3.47,430.758187,1B,Slab-on-Grade,elevated,Clearly Elevated,2.051860465,,,imagery,High,slab on grade,3.95539345,3.61539345,4.29539345,4.17428806,3.83428806,4.51428806
FMB0123,26.451277,-81.948674,496537781,RES1-1SNB,W,76RWF322+GG8-2-2-3-2,RES,728,C,1.5,76900.2544,38450.1272,AE,3.914162,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline and how only the foundation remains,yes,yes,1,DS2,DS1,,DS2,DS0,DS2,2,,Medium,Aerial+StEER,Partial,The building is still intact for the most part. Roof; a good amount of the shingles are missing (15-50%). Walls; small scratches (aesthetic damage). Foundation; Not able to see due to debris covering it. Attachments; part of the railing is damaged/ gone.,10228225,123 MIRAMAR ST,single family residential,Residential,1,1953,1988,84278,1560.618794,,,,,,,,,,,,,,,,,0.96,4.13,215.986593,6,Piles/Columns,elevated,Probably Elevated,6.375273224,,4.046912568,imagery,High,bottom story appears to be latice wrapped storage area,4.127210726,3.787210726,4.467210726,4.61693968,4.27693968,4.95693968
FMB0124,26.453172,-81.948991,496537782,RES1-1SNB,W,76RWF332+7C6-2-3-2-3,RES,1560,I,8,122708.102,61354.0512,AE,4.209915,major,single family,yes,yes,The picture is of the front of the building. Damage details talk about the waterline and non-structural damage to the roof.,yes,yes,1,DS1,DS0,DS0,DS1,DS0,DS1,1,DS1,High,Aerial+Lee County,Full,The building is still intact and looks like minor damage. Roof; there is some soffit damage. Attachments; the railing for the staircase leading to the front door is gone.,10227992,220 OSTEGO DR,single family residential,Residential,1,1990,1992,178366,1800.00321,,,,,,,,,,,,,,,,,1.32,4.57,394.638662,6,Piles/Columns,elevated,Probably Elevated,9.040649065,,6.963223322,imagery,High,,3.98428907,3.64428907,4.32428907,4.228003776,3.888003776,4.568003776
FMB0125,26.454262,-81.949858,496537783,RES1-1SNB,W,76RWF332+P32-2-3-2-3,RES,1484,I,8,137673.42,68836.71,AE,3.790531,major,single family,no,yes,1 good picture,yes,no,1,DS1,DS0,DS0,DS2,DS1,DS2,2,DS2,High,Aerial+Lee County,Full,"Minor damage to roof, damage to stairway",10228049,275 CAROLINA AVE,single family residential,Residential,1,1998,1998,192696,2619.002296,,,,,,,,,,,,,,,,,1.42,3.87,468.105578,7,Wall,elevated,Likely Elevated,3.487657736,,,imagery,High,bottom story appears to be all garages,3.925515538,3.585515538,4.265515538,4.123920793,3.783920793,4.463920793
FMB0126,26.454684,-81.952982,496537784,RES1-1SNB,W,76RWF23W+VRC-2-3-2-3,RES,1500,W,1.5,138607.92,69303.96,AE,3.986099,minor,single family,yes,yes,No visible damage in photo of front of house,yes,no,1,DS3,DS0,DS0,DS0,DS0,DS3,3,DS0,,Aerial+Lee County,Full,45% roughly of shingles removed but otherwise building is unharmed,10228370,225 PRIMO DR,single family residential,Residential,1,1992,1997,146631,2899.855566,,,,,,,,,,,,,,,,,1.22,4.24,366.44028,6,Piles/Columns,elevated,Clearly Elevated,9.413572939,,7.856997886,imagery,High,,4.006847776,3.666847776,4.346847776,4.274015023,3.934015023,4.614015023
FMB0127,26.451895,-81.946575,496537785,RES1-1SNB,C,76RWF323+Q93-3-2-2-2,RES,1013,S,0.5,94701.2037,47350.6018,AE,4.235501,major,single family,yes,yes,"The pictures show the front of the house. Damage detail talks about the waterline, structural damage, and how only the foundation remains.",no,yes,1,DS1,DS0,DS0,DS0,DS3,DS3,3,DS3,High,Aerial+StEER,Full,"The building is still intact for the most part. Roof; there is some gutter/ soffit damage. Openings; The garage door is bent and one of the main doors is gone leaving some damage to the frame. When looking at OSU map, this house is destroyed.",10228269,230 VIRGINIA AV,single family residential,Residential,1,1968,1988,145662,3136.897983,,,,,,,,,,,,,,,,,0.97,4.25,364.302519,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,4.008557985,3.668557985,4.348557985,4.277667608,3.937667608,4.617667608
FMB0128,26.453956,-81.946554,496537786,RES1-1SNB,W,76RWF333+H9P-2-3-2-3,RES,2055,P,8,149364.066,74682.0332,AE,3.663538,destroyed,commercial,yes,yes,"The picture is of the wrong building. Damage details call this to be a complete loss, say failure to structural wall members",yes,yes,1,DS2,DS1,DS3,DS3,DS0,DS3,3,DS3,High,Aerial+StEER,Full,The building is still intact for the most part. Roof; 15-50% of the shingles were removed. Some spots have sheathing exposed. Foundation; the wood piles have some minor chips to them. Attachments; the front porch/ staircase is destroyed and the back porch is damaged. ,10228276,290 VIRGINIA AV,single family residential,Residential,1,1976,1976,146938,3575.687627,,,,,,,,,,,,,,,,,1.1,3.2,584.147265,8,Crawlspace,elevated,Clearly Elevated,5.596907216,,4.464948454,imagery,Medium,had to get creative with roofline measurement,3.832682188,3.492682188,4.172682188,3.992714434,3.652714434,4.332714434
FMB0129,26.452349,-81.94807,496537787,RES1-1SNB,W,76RWF322+WQM-3-3-2-2,RES,1208,I,8,104909.593,52454.7965,AE,4.838936,major,single family,yes,yes,The pictures show the front of the house. Damage detail talks about the waterline and how only the foundation remains.,yes,no,1,DS2,DS0,DS0,DS1,DS0,DS2,2,DS1,High,Aerial+StEER,Full,The building is still intact for the most part. Roof; a good amount of the shingles are missing (15-50%).  Attachments; a few of the screens on the enclosed deck in the front of the building are damaged/ broken. ,10228316,259 OHIO AV,single family residential,Residential,1,1950,1978,67647,2889.144776,,,,,,,,,,,,,,,,,1.07,4.72,349.155508,1B,Slab-on-Grade,elevated,Clearly Elevated,1.655606557,,,imagery,High,had to use OSU imagery for good line of sight,4.020675594,3.680675594,4.360675594,4.304272452,3.964272452,4.644272452
